recency,frequency,monetary,r_rank_norm,f_rank_norm,m_rank_norm,RFM_score,customer_segment
163,1,49.22,66.02,43.48,16.4,1.57,lost customers
383,2,180.0,21.9,91.93,71.96,3.5,Medium
323,1,52.73,30.43,43.48,18.45,1.36,lost customers
208,1,155.22,55.14,43.48,65.6,2.89,Low
90,1,76.74,83.17,43.48,34.13,2.21,Low
546,1,322.55,3.7,43.48,87.21,3.12,Medium
249,1,72.15,45.6,43.48,31.34,1.84,Low
306,1,151.22,32.97,43.48,64.6,2.7,Low
432,2,322.96,15.24,91.93,87.25,3.89,Medium
96,2,738.2,81.81,91.93,96.07,4.64,Top
27,1,41.16,97.29,43.48,10.91,1.65,Low
204,1,67.5,55.99,43.48,28.4,1.84,Low
214,1,147.72,54.13,43.48,63.58,2.83,Low
287,1,127.14,37.33,43.48,56.8,2.51,Low
117,1,130.2,78.26,43.48,57.84,2.84,Low
89,1,52.58,83.45,43.48,18.34,1.76,Low
71,1,254.61,86.93,43.48,82.55,3.61,Medium
58,2,281.06,88.88,91.93,84.55,4.36,High
555,1,128.88,2.89,43.48,57.41,2.27,Low
169,2,815.76,64.85,91.93,96.67,4.53,Top
89,2,152.56,83.45,91.93,64.91,3.76,Medium
138,8,1017.76,72.55,99.88,97.75,4.73,Top
153,1,86.98,68.72,43.48,39.46,2.25,Low
84,1,198.51,84.42,43.48,75.5,3.39,Medium
323,1,311.42,30.43,43.48,86.48,3.3,Medium
394,1,84.05,20.15,43.48,37.88,1.84,Low
225,1,221.79,51.22,43.48,79.14,3.25,Medium
397,1,100.73,19.93,43.48,45.95,2.07,Low
92,2,305.32,82.56,91.93,86.02,4.36,High
307,1,91.05,32.76,43.48,41.53,2.04,Low
98,1,177.39,81.31,43.48,71.43,3.25,Medium
228,1,88.44,50.79,43.48,40.35,2.14,Low
174,1,55.06,63.8,43.48,20.01,1.66,Low
292,1,97.26,35.55,43.48,44.32,2.14,Low
200,1,95.31,57.31,43.48,43.47,2.28,Low
546,1,127.41,3.7,43.48,56.87,2.26,Low
491,1,105.28,8.29,43.48,47.94,2.04,Low
301,1,64.1,33.49,43.48,26.02,1.6,lost customers
55,1,93.29,89.71,43.48,42.54,2.49,Low
64,1,57.67,88.19,43.48,21.74,1.89,Low
519,1,300.09,6.01,43.48,85.74,3.1,Medium
420,1,27.77,16.7,43.48,2.64,0.81,lost customers
470,1,25.71,11.0,43.48,1.77,0.74,lost customers
181,3,1779.39,62.16,97.68,99.13,4.66,Top
287,1,65.01,37.33,43.48,26.67,1.65,Low
278,1,149.36,40.58,43.48,64.14,2.74,Low
342,1,140.08,27.7,43.48,61.32,2.56,Low
54,1,177.99,90.01,43.48,71.57,3.32,Medium
246,1,96.8,46.03,43.48,44.1,2.21,Low
364,1,165.99,24.36,43.48,68.61,2.75,Low
307,2,16.05,32.76,91.93,0.08,1.53,lost customers
237,1,267.51,48.51,43.48,83.6,3.35,Medium
426,1,32.58,15.9,43.48,5.09,0.87,lost customers
197,1,32.38,57.82,43.48,4.95,1.18,lost customers
167,1,114.89,65.58,43.48,52.06,2.58,Low
177,1,44.25,62.8,43.48,13.01,1.45,lost customers
424,1,60.1,16.22,43.48,23.32,1.4,lost customers
236,1,189.42,48.83,43.48,73.8,3.08,Medium
160,2,24.37,67.1,91.93,1.43,1.83,Low
489,1,70.03,8.67,43.48,30.09,1.53,lost customers
27,1,247.74,97.29,43.48,81.92,3.67,Medium
152,1,181.52,68.98,43.48,72.22,3.18,Medium
21,1,137.01,98.88,43.48,60.07,3.06,Medium
22,2,500.84,98.48,91.93,92.96,4.68,Top
50,1,118.35,90.79,43.48,53.76,2.82,Low
273,1,87.64,41.65,43.48,39.86,2.06,Low
315,1,167.29,31.64,43.48,68.96,2.81,Low
42,2,398.75,92.9,91.93,90.44,4.56,Top
264,1,186.05,43.71,43.48,73.03,3.02,Medium
391,1,66.78,20.73,43.48,27.9,1.56,lost customers
425,1,1046.56,16.09,43.48,97.85,3.52,Medium
513,1,975.44,6.36,43.48,97.59,3.44,Medium
376,2,162.78,22.82,91.93,67.63,3.39,Medium
566,1,349.01,2.34,43.48,88.5,3.15,Medium
273,2,467.76,41.65,91.93,92.29,4.23,High
179,1,66.69,62.63,43.48,27.82,1.87,Low
120,1,49.42,77.1,43.48,16.54,1.66,Low
93,1,47.13,82.17,43.48,14.95,1.65,Low
100,1,86.58,80.68,43.48,39.24,2.33,Low
78,1,42.51,85.6,43.48,11.67,1.58,lost customers
222,3,1059.93,52.15,97.68,97.9,4.55,Top
168,2,347.04,65.27,91.93,88.41,4.3,High
204,1,47.38,55.99,43.48,15.1,1.46,lost customers
229,1,113.71,50.55,43.48,51.53,2.46,Low
278,1,21.4,40.58,43.48,0.72,0.93,lost customers
119,1,385.03,77.55,43.48,90.02,3.76,Medium
208,3,746.82,55.14,97.68,96.15,4.52,Top
525,1,198.77,5.5,43.48,75.54,2.8,Low
99,1,104.28,81.03,43.48,47.5,2.57,Low
68,1,56.88,87.84,43.48,21.2,1.87,Low
245,1,77.77,46.43,43.48,34.96,1.95,Low
155,1,147.78,68.05,43.48,63.59,2.93,Low
166,2,53.15,65.82,91.93,18.77,2.32,Low
410,1,96.8,18.13,43.48,44.1,2.0,Low
223,1,44.09,51.86,43.48,12.84,1.36,lost customers
317,2,21.77,31.27,91.93,0.82,1.54,lost customers
153,1,504.09,68.72,43.48,93.01,3.78,Medium
27,1,77.21,97.29,43.48,34.45,2.32,Low
167,1,71.25,65.58,43.48,30.83,1.98,Low
141,2,268.24,71.36,91.93,83.67,4.21,High
127,1,614.81,74.97,43.48,94.69,3.87,Medium
57,1,1644.76,89.15,43.48,99.01,4.1,High
40,1,33.34,93.51,43.48,5.59,1.47,lost customers
64,1,123.02,88.19,43.48,55.32,2.85,Low
271,1,63.6,42.29,43.48,25.59,1.66,Low
284,1,72.43,38.76,43.48,31.49,1.8,Low
43,1,245.22,92.56,43.48,81.68,3.63,Medium
449,1,107.78,13.36,43.48,49.17,2.11,Low
490,2,102.22,8.51,91.93,46.6,2.68,Low
200,1,60.46,57.31,43.48,23.49,1.71,Low
250,1,82.92,45.38,43.48,37.29,2.01,Low
410,2,264.96,18.13,91.93,83.38,3.8,Medium
399,1,126.53,19.56,43.48,56.59,2.37,Low
155,1,23.29,68.05,43.48,1.18,1.15,lost customers
182,1,73.68,61.87,43.48,32.4,2.0,Low
533,1,27.02,4.86,43.48,2.21,0.71,lost customers
189,1,71.82,60.04,43.48,31.11,1.95,Low
286,1,66.67,37.94,43.48,27.77,1.68,Low
140,1,365.43,71.82,43.48,89.23,3.69,Medium
442,1,199.51,14.08,43.48,75.7,2.87,Low
237,1,1030.83,48.51,43.48,97.8,3.76,Medium
22,1,116.84,98.48,43.48,52.87,2.85,Low
21,2,572.4,98.88,91.93,94.14,4.71,Top
229,1,125.33,50.55,43.48,56.13,2.59,Low
463,1,82.78,11.78,43.48,37.2,1.76,Low
489,1,32.41,8.67,43.48,5.0,0.82,lost customers
287,1,84.52,37.33,43.48,38.16,1.98,Low
394,1,217.02,20.15,43.48,78.42,2.99,Low
268,1,226.85,42.65,43.48,79.76,3.2,Medium
160,1,197.8,67.1,43.48,75.37,3.26,Medium
436,1,62.78,14.64,43.48,24.98,1.43,lost customers
379,1,85.75,22.26,43.48,38.8,1.88,Low
281,2,292.36,39.3,91.93,85.27,4.01,High
289,1,65.92,36.12,43.48,27.33,1.66,Low
159,1,563.95,67.37,43.48,94.01,3.79,Medium
502,6,1134.36,7.39,99.68,98.12,4.25,High
565,1,23.62,2.42,43.48,1.24,0.66,lost customers
428,1,30.32,15.56,43.48,3.83,0.83,lost customers
96,1,122.21,81.81,43.48,55.07,2.79,Low
229,1,32.24,50.55,43.48,4.83,1.13,lost customers
64,1,162.15,88.19,43.48,67.42,3.19,Medium
132,1,195.29,73.76,43.48,74.9,3.3,Medium
239,1,72.14,47.78,43.48,31.29,1.86,Low
246,1,431.92,46.03,43.48,91.44,3.56,Medium
135,1,622.34,72.92,43.48,94.84,3.86,Medium
368,1,152.68,23.79,43.48,64.94,2.64,Low
518,1,1400.33,6.13,43.48,98.69,3.47,Medium
305,1,120.9,33.11,43.48,54.65,2.41,Low
51,2,203.72,90.36,91.93,76.3,4.14,High
202,1,38.17,56.75,43.48,9.13,1.29,lost customers
36,1,200.33,94.46,43.48,75.8,3.48,Medium
447,5,692.0,13.64,99.41,95.62,4.22,High
56,1,117.79,89.43,43.48,53.38,2.8,Low
302,1,124.46,33.31,43.48,55.86,2.45,Low
238,3,2518.2,48.15,97.68,99.56,4.57,Top
106,1,64.22,79.98,43.48,26.15,1.95,Low
99,1,68.19,81.03,43.48,28.9,2.04,Low
20,1,125.58,99.18,43.48,56.26,2.96,Low
351,2,366.64,26.3,91.93,89.28,4.03,High
596,1,165.8,0.55,43.48,68.56,2.57,Low
281,1,122.4,39.3,43.48,55.13,2.47,Low
217,1,29.04,53.21,43.48,3.25,1.1,lost customers
28,1,82.55,96.93,43.48,37.04,2.39,Low
327,1,92.81,29.91,43.48,42.3,2.04,Low
237,1,104.37,48.51,43.48,47.55,2.33,Low
92,2,228.96,82.56,91.93,80.04,4.19,High
198,5,1602.25,57.49,99.41,98.95,4.64,Top
299,1,65.09,34.02,43.48,26.75,1.63,Low
37,1,67.44,93.99,43.48,28.32,2.12,Low
278,1,335.98,40.58,43.48,87.88,3.42,Medium
368,1,96.93,23.79,43.48,44.2,2.05,Low
148,1,160.22,69.62,43.48,66.96,3.04,Medium
216,1,154.72,53.55,43.48,65.47,2.88,Low
133,1,27.77,73.32,43.48,2.64,1.23,lost customers
222,1,105.8,52.15,43.48,48.25,2.37,Low
158,1,82.33,67.6,43.48,36.93,2.17,Low
321,1,112.79,30.87,43.48,51.08,2.3,Low
82,2,309.24,84.91,91.93,86.29,4.38,High
51,1,89.0,90.36,43.48,40.65,2.44,Low
230,3,413.82,50.23,97.68,90.89,4.33,High
280,1,161.62,39.78,43.48,67.27,2.82,Low
90,1,207.31,83.17,43.48,76.89,3.42,Medium
250,1,167.97,45.38,43.48,69.18,2.92,Low
230,1,38.01,50.23,43.48,8.96,1.24,lost customers
131,2,326.04,74.16,91.93,87.4,4.33,High
124,1,98.37,76.21,43.48,44.86,2.46,Low
244,1,34.0,46.76,43.48,5.97,1.13,lost customers
287,1,71.05,37.33,43.48,30.66,1.76,Low
135,1,69.9,72.92,43.48,29.98,2.01,Low
230,1,183.92,50.23,43.48,72.65,3.06,Medium
162,1,180.94,66.28,43.48,72.14,3.16,Medium
75,1,58.28,86.41,43.48,22.28,1.89,Low
235,2,63.17,49.11,91.93,25.29,2.38,Low
335,1,123.01,28.62,43.48,55.31,2.4,Low
244,1,44.59,46.76,43.48,13.23,1.34,lost customers
270,1,65.0,42.51,43.48,26.59,1.69,Low
190,1,256.16,59.68,43.48,82.67,3.41,Medium
250,1,230.54,45.38,43.48,80.19,3.23,Medium
282,1,726.76,38.95,43.48,95.98,3.64,Medium
151,1,147.73,69.18,43.48,63.58,2.94,Low
313,1,107.78,31.84,43.48,49.17,2.25,Low
200,1,68.17,57.31,43.48,28.89,1.86,Low
249,1,147.15,45.6,43.48,63.36,2.76,Low
173,1,89.91,64.11,43.48,41.07,2.26,Low
210,2,284.96,54.35,91.93,84.81,4.11,High
555,1,95.98,2.89,43.48,43.69,1.88,Low
97,1,88.5,81.55,43.48,40.39,2.37,Low
488,1,41.6,8.82,43.48,11.06,0.99,lost customers
152,1,93.43,68.98,43.48,42.6,2.34,Low
162,1,153.36,66.28,43.48,65.15,2.96,Low
22,1,141.39,98.48,43.48,61.61,3.1,Medium
28,1,144.49,96.93,43.48,62.55,3.12,Medium
548,1,345.15,3.44,43.48,88.34,3.15,Medium
368,1,75.65,23.79,43.48,33.5,1.74,Low
76,1,65.33,86.13,43.48,26.93,2.02,Low
394,1,79.41,20.15,43.48,35.75,1.78,Low
496,1,72.41,7.86,43.48,31.46,1.56,lost customers
40,1,137.96,93.51,43.48,60.42,3.03,Medium
43,1,91.18,92.56,43.48,41.6,2.49,Low
267,1,204.63,42.88,43.48,76.48,3.11,Medium
329,1,45.0,29.47,43.48,13.43,1.21,lost customers
172,1,78.34,64.41,43.48,35.27,2.1,Low
22,1,94.47,98.48,43.48,43.07,2.57,Low
537,1,148.76,4.56,43.48,63.98,2.47,Low
435,1,110.89,14.8,43.48,50.3,2.15,Low
174,1,107.41,63.8,43.48,49.02,2.48,Low
263,1,31.0,43.87,43.48,4.07,1.05,lost customers
280,1,104.12,39.78,43.48,47.45,2.26,Low
43,1,90.32,92.56,43.48,41.25,2.48,Low
111,1,50.71,79.42,43.48,17.22,1.7,Low
70,1,196.41,87.31,43.48,75.14,3.4,Medium
273,1,123.52,41.65,43.48,55.52,2.5,Low
364,1,24.73,24.36,43.48,1.51,0.83,lost customers
117,1,157.24,78.26,43.48,66.13,3.08,Medium
131,1,274.58,74.16,43.48,84.1,3.56,Medium
336,1,56.39,28.47,43.48,20.78,1.41,lost customers
392,1,55.62,20.54,43.48,20.41,1.34,lost customers
96,1,533.49,81.81,43.48,93.56,3.89,Medium
51,1,94.72,90.36,43.48,43.17,2.52,Low
236,2,512.18,48.83,91.93,93.18,4.31,High
36,1,159.62,94.46,43.48,66.81,3.22,Medium
376,1,195.91,22.82,43.48,75.02,2.92,Low
343,1,135.17,27.49,43.48,59.44,2.51,Low
224,2,94.3,51.55,91.93,42.96,2.9,Low
336,2,424.32,28.47,91.93,91.23,4.1,High
274,1,28.75,41.28,43.48,3.12,1.01,lost customers
350,1,221.57,26.5,43.48,79.12,3.06,Medium
205,1,60.08,55.7,43.48,23.28,1.69,Low
286,1,102.23,37.94,43.48,46.61,2.22,Low
34,1,75.5,95.23,43.48,33.4,2.27,Low
334,1,106.92,28.75,43.48,48.82,2.22,Low
64,1,96.88,88.19,43.48,44.17,2.53,Low
194,1,160.77,58.92,43.48,67.1,2.96,Low
393,2,286.52,20.34,91.93,84.91,3.86,Medium
266,1,147.15,43.2,43.48,63.36,2.74,Low
49,1,27.73,91.18,43.48,2.57,1.37,lost customers
79,1,1388.43,85.24,43.48,98.68,4.06,High
397,1,25.1,19.93,43.48,1.64,0.8,lost customers
112,1,117.07,79.21,43.48,53.11,2.72,Low
400,2,66.02,19.37,91.93,27.41,2.21,Low
279,1,101.34,40.21,43.48,46.21,2.23,Low
119,1,40.19,77.55,43.48,10.33,1.48,lost customers
275,1,513.22,41.01,43.48,93.19,3.57,Medium
145,1,114.66,70.65,43.48,51.92,2.62,Low
210,1,79.9,54.35,43.48,35.97,2.04,Low
125,1,27.69,75.83,43.48,2.55,1.25,lost customers
98,1,187.15,81.31,43.48,73.27,3.31,Medium
533,1,95.72,4.86,43.48,43.63,1.89,Low
368,1,61.63,23.79,43.48,24.12,1.47,lost customers
125,1,94.5,75.83,43.48,43.08,2.41,Low
238,1,102.64,48.15,43.48,46.75,2.3,Low
485,1,105.89,9.0,43.48,48.29,2.05,Low
236,3,429.66,48.83,97.68,91.39,4.34,High
229,1,106.87,50.55,43.48,48.76,2.38,Low
265,1,76.18,43.49,43.48,33.82,1.9,Low
296,1,57.8,34.37,43.48,21.92,1.49,lost customers
286,1,145.29,37.94,43.48,62.8,2.68,Low
22,2,153.24,98.48,91.93,65.12,3.88,Medium
355,1,130.11,25.94,43.48,57.81,2.45,Low
57,1,336.32,89.15,43.48,87.9,3.78,Medium
112,1,77.29,79.21,43.48,34.49,2.19,Low
96,1,100.75,81.81,43.48,45.95,2.53,Low
601,4,968.96,0.43,98.88,97.56,4.17,High
251,1,235.18,45.12,43.48,80.67,3.25,Medium
411,2,163.44,18.02,91.93,67.85,3.36,Medium
152,1,109.48,68.98,43.48,49.87,2.55,Low
224,1,32.77,51.55,43.48,5.26,1.15,lost customers
40,1,255.76,93.51,43.48,82.63,3.67,Medium
58,1,52.02,88.88,43.48,18.02,1.79,Low
207,1,62.01,55.49,43.48,24.45,1.72,Low
126,2,701.24,75.41,91.93,95.73,4.58,Top
344,1,319.37,27.27,43.48,87.04,3.29,Medium
21,1,484.06,98.88,43.48,92.64,3.99,Medium
674,1,65.77,0.26,43.48,27.24,1.39,lost customers
443,1,156.33,13.89,43.48,65.88,2.59,Low
86,1,250.32,83.78,43.48,82.15,3.58,Medium
351,1,35.09,26.3,43.48,6.72,1.0,lost customers
455,4,449.6,12.77,98.88,91.86,4.1,High
76,1,47.53,86.13,43.48,15.22,1.69,Low
121,1,45.76,76.65,43.48,14.03,1.58,lost customers
236,1,179.46,48.83,43.48,71.88,3.02,Medium
288,4,752.0,36.66,98.88,96.19,4.4,High
505,2,429.51,6.98,91.93,91.38,3.94,Medium
19,1,314.66,99.42,43.48,86.69,3.82,Medium
33,1,237.91,95.63,43.48,80.99,3.63,Medium
364,1,45.11,24.36,43.48,13.65,1.18,lost customers
278,2,49.91,40.58,91.93,16.75,2.07,Low
138,1,37.18,72.55,43.48,8.21,1.39,lost customers
231,1,154.36,49.87,43.48,65.4,2.85,Low
149,1,33.16,69.34,43.48,5.5,1.29,lost customers
86,1,39.01,83.78,43.48,9.58,1.51,lost customers
100,1,94.65,80.68,43.48,43.14,2.44,Low
139,2,122.27,72.23,91.93,55.09,3.4,Medium
21,1,292.63,98.88,43.48,85.3,3.78,Medium
105,1,58.78,80.19,43.48,22.6,1.85,Low
242,1,54.0,47.19,43.48,19.26,1.51,lost customers
266,1,102.96,43.2,43.48,46.94,2.27,Low
79,1,67.58,85.24,43.48,28.51,2.06,Low
250,1,22.37,45.38,43.48,0.97,0.98,lost customers
204,1,128.14,55.99,43.48,57.15,2.66,Low
215,2,366.74,53.87,91.93,89.29,4.24,High
42,1,147.39,92.9,43.48,63.48,3.11,Medium
180,1,249.49,62.42,43.48,82.08,3.42,Medium
253,1,73.38,44.71,43.48,32.25,1.86,Low
217,1,26.53,53.21,43.48,2.02,1.07,lost customers
51,2,312.74,90.36,91.93,86.55,4.43,High
471,1,30.0,10.84,43.48,3.65,0.79,lost customers
58,1,369.28,88.88,43.48,89.45,3.82,Medium
43,1,75.51,92.56,43.48,33.41,2.25,Low
145,1,122.81,70.65,43.48,55.25,2.71,Low
49,2,101.44,91.18,91.93,46.25,3.29,Medium
86,1,49.03,83.78,43.48,16.29,1.7,Low
218,1,296.71,52.84,43.48,85.55,3.44,Medium
175,1,98.52,63.49,43.48,44.92,2.37,Low
349,1,329.98,26.71,43.48,87.62,3.31,Medium
41,1,117.74,93.18,43.48,53.34,2.83,Low
568,1,54.42,2.2,43.48,19.61,1.18,lost customers
51,1,280.72,90.36,43.48,84.53,3.7,Medium
55,2,261.64,89.71,91.93,83.1,4.33,High
189,2,310.02,60.04,91.93,86.34,4.2,High
524,1,82.12,5.62,43.48,36.84,1.7,Low
116,1,83.7,78.42,43.48,37.73,2.27,Low
83,1,217.15,84.68,43.48,78.44,3.48,Medium
30,1,145.9,96.1,43.48,62.96,3.12,Medium
230,1,60.62,50.23,43.48,23.54,1.66,Low
176,1,313.72,63.09,43.48,86.62,3.55,Medium
44,1,62.65,92.17,43.48,24.85,2.01,Low
54,1,203.23,90.01,43.48,76.22,3.46,Medium
497,1,341.68,7.69,43.48,88.16,3.18,Medium
698,1,76.47,0.08,43.48,33.94,1.58,lost customers
218,1,93.3,52.84,43.48,42.55,2.22,Low
580,1,568.61,1.48,43.48,94.08,3.3,Medium
464,1,229.79,11.6,43.48,80.12,2.98,Low
286,1,112.43,37.94,43.48,50.94,2.35,Low
201,1,83.7,57.08,43.48,37.73,2.11,Low
247,2,204.04,45.74,91.93,76.36,3.81,Medium
372,1,82.07,23.21,43.48,36.82,1.83,Low
483,1,117.07,9.38,43.48,53.11,2.19,Low
141,1,210.93,71.36,43.48,77.44,3.35,Medium
273,1,182.91,41.65,43.48,72.47,2.99,Low
125,1,339.74,75.83,43.48,88.05,3.69,Medium
371,1,116.46,23.43,43.48,52.77,2.29,Low
553,1,196.75,3.11,43.48,75.19,2.77,Low
526,1,129.73,5.4,43.48,57.68,2.29,Low
470,1,191.67,11.0,43.48,74.17,2.81,Low
581,1,326.24,1.39,43.48,87.41,3.11,Medium
362,1,33.77,24.8,43.48,5.8,0.96,lost customers
357,1,25.75,25.53,43.48,1.78,0.85,lost customers
183,1,79.29,61.49,43.48,35.69,2.09,Low
141,4,2456.84,71.36,98.88,99.55,4.76,Top
56,1,126.9,89.43,43.48,56.69,2.9,Low
135,1,131.57,72.92,43.48,58.21,2.81,Low
71,1,148.23,86.93,43.48,63.84,3.08,Medium
544,1,59.42,3.94,43.48,22.98,1.29,lost customers
474,3,939.33,10.66,97.68,97.44,4.22,High
204,1,746.83,55.99,43.48,96.15,3.77,Medium
89,1,51.66,83.45,43.48,17.75,1.74,Low
72,1,37.89,86.63,43.48,8.86,1.51,lost customers
442,1,168.2,14.08,43.48,69.24,2.69,Low
266,1,76.36,43.2,43.48,33.9,1.9,Low
68,1,33.82,87.84,43.48,5.84,1.43,lost customers
335,1,74.57,28.62,43.48,32.87,1.76,Low
128,1,159.89,74.55,43.48,66.9,3.07,Medium
350,1,203.14,26.5,43.48,76.21,2.98,Low
223,1,38.78,51.86,43.48,9.46,1.27,lost customers
358,1,319.11,25.28,43.48,87.01,3.28,Medium
406,1,339.64,18.58,43.48,88.04,3.26,Medium
352,1,60.06,26.14,43.48,23.28,1.47,lost customers
182,1,199.12,61.87,43.48,75.62,3.23,Medium
154,1,46.93,68.41,43.48,14.82,1.54,lost customers
281,1,186.6,39.3,43.48,73.14,2.99,Low
485,1,188.45,9.0,43.48,73.54,2.77,Low
288,1,105.16,36.66,43.48,47.86,2.25,Low
281,1,52.23,39.3,43.48,18.13,1.42,lost customers
485,1,36.27,9.0,43.48,7.53,0.89,lost customers
158,1,486.24,67.6,43.48,92.68,3.76,Medium
142,1,50.23,71.06,43.48,17.01,1.63,Low
274,1,39.59,41.28,43.48,9.91,1.2,lost customers
508,1,211.0,6.72,43.48,77.45,2.87,Low
387,1,71.82,21.11,43.48,31.11,1.65,Low
482,1,144.12,9.57,43.48,62.45,2.46,Low
275,1,135.59,41.01,43.48,59.59,2.61,Low
526,1,25.86,5.4,43.48,1.85,0.7,lost customers
179,1,204.67,62.63,43.48,76.48,3.26,Medium
204,1,133.18,55.99,43.48,58.72,2.7,Low
306,1,117.85,32.97,43.48,53.44,2.38,Low
399,1,96.8,19.56,43.48,44.1,2.01,Low
95,1,108.5,81.95,43.48,49.55,2.64,Low
64,1,67.94,88.19,43.48,28.7,2.09,Low
173,1,128.42,64.11,43.48,57.25,2.72,Low
419,1,123.89,16.88,43.48,55.68,2.32,Low
70,2,225.8,87.31,91.93,79.65,4.21,High
160,1,58.78,67.1,43.48,22.6,1.76,Low
183,1,342.15,61.49,43.48,88.2,3.58,Medium
447,1,75.28,13.64,43.48,33.32,1.66,Low
386,1,50.78,21.31,43.48,17.25,1.26,lost customers
82,2,264.16,84.91,91.93,83.3,4.3,High
443,1,148.15,13.89,43.48,63.76,2.53,Low
496,1,77.16,7.86,43.48,34.42,1.65,Low
98,1,354.81,81.31,43.48,88.78,3.75,Medium
135,1,31.28,72.92,43.48,4.19,1.28,lost customers
197,2,585.84,57.82,91.93,94.3,4.41,High
464,2,391.12,11.6,91.93,90.21,3.94,Medium
140,1,81.31,71.82,43.48,36.5,2.19,Low
139,1,61.22,72.23,43.48,23.92,1.83,Low
497,1,429.17,7.69,43.48,91.38,3.27,Medium
47,1,282.07,91.81,43.48,84.59,3.71,Medium
196,1,90.05,58.25,43.48,41.12,2.22,Low
135,1,237.54,72.92,43.48,80.95,3.46,Medium
335,1,89.63,28.62,43.48,40.95,1.99,Low
333,1,267.99,28.85,43.48,83.65,3.21,Medium
505,1,137.57,6.98,43.48,60.28,2.38,Low
484,1,79.19,9.18,43.48,35.63,1.69,Low
372,1,105.29,23.21,43.48,48.0,2.15,Low
195,2,220.36,58.59,91.93,78.99,3.98,Medium
161,1,158.54,66.7,43.48,66.54,3.01,Medium
240,1,195.28,47.46,43.48,74.9,3.1,Medium
105,1,211.91,80.19,43.48,77.56,3.42,Medium
428,1,223.14,15.56,43.48,79.31,2.99,Low
295,1,668.04,34.57,43.48,95.37,3.59,Medium
385,1,44.0,21.55,43.48,12.73,1.13,lost customers
565,1,137.57,2.42,43.48,60.28,2.34,Low
372,1,181.4,23.21,43.48,72.19,2.84,Low
510,1,88.09,6.66,43.48,40.21,1.8,Low
162,1,63.88,66.28,43.48,25.75,1.84,Low
250,3,2054.4,45.38,97.68,99.36,4.54,Top
537,1,40.95,4.56,43.48,10.74,0.95,lost customers
226,1,218.73,50.95,43.48,78.75,3.24,Medium
85,1,123.05,84.12,43.48,55.33,2.82,Low
267,1,1224.04,42.88,43.48,98.33,3.73,Medium
184,1,125.52,61.2,43.48,56.23,2.67,Low
93,1,159.77,82.17,43.48,66.87,3.13,Medium
217,1,37.75,53.21,43.48,8.63,1.25,lost customers
126,1,263.65,75.41,43.48,83.26,3.55,Medium
280,1,86.15,39.78,43.48,39.05,2.02,Low
356,1,62.19,25.74,43.48,24.55,1.5,lost customers
277,1,140.32,40.82,43.48,61.37,2.66,Low
540,1,219.84,4.2,43.48,78.9,2.89,Low
35,1,36.36,94.85,43.48,7.62,1.54,lost customers
215,1,69.12,53.87,43.48,29.49,1.85,Low
187,1,38.85,60.76,43.48,9.48,1.33,lost customers
342,2,362.32,27.7,91.93,89.09,4.03,High
79,1,19.29,85.24,43.48,0.31,1.26,lost customers
396,1,143.92,20.06,43.48,62.38,2.54,Low
281,2,170.36,39.3,91.93,69.77,3.57,Medium
30,1,45.3,96.1,43.48,13.8,1.72,Low
226,1,112.7,50.95,43.48,51.02,2.44,Low
117,1,62.85,78.26,43.48,25.04,1.91,Low
224,1,283.61,51.55,43.48,84.69,3.41,Medium
469,1,207.09,11.15,43.48,76.86,2.88,Low
196,1,609.06,58.25,43.48,94.61,3.74,Medium
152,3,3792.51,68.98,97.68,99.79,4.73,Top
76,1,189.32,86.13,43.48,73.74,3.36,Medium
126,1,45.22,75.41,43.48,13.73,1.57,lost customers
191,1,151.61,59.4,43.48,64.69,2.9,Low
281,1,89.63,39.3,43.48,40.95,2.07,Low
392,1,118.85,20.54,43.48,53.93,2.3,Low
15,2,201.72,99.85,91.93,75.99,4.2,High
512,1,79.52,6.48,43.48,35.79,1.68,Low
26,4,990.72,97.65,98.88,97.63,4.9,Top
197,1,76.65,57.82,43.48,34.04,2.01,Low
207,4,1185.12,55.49,98.88,98.25,4.6,Top
131,1,69.14,74.16,43.48,29.52,2.01,Low
209,1,44.09,54.69,43.48,12.84,1.38,lost customers
421,1,104.28,16.49,43.48,47.5,2.09,Low
175,1,47.61,63.49,43.48,15.27,1.52,lost customers
294,1,29.09,34.89,43.48,3.27,0.96,lost customers
439,1,87.73,14.51,43.48,39.99,1.86,Low
288,1,112.2,36.66,43.48,50.83,2.33,Low
239,1,117.97,47.78,43.48,53.62,2.5,Low
28,1,68.35,96.93,43.48,29.03,2.16,Low
120,6,8425.44,77.1,99.68,99.96,4.82,Top
572,1,227.1,2.01,43.48,79.79,2.9,Low
182,1,51.38,61.87,43.48,17.63,1.58,lost customers
338,1,105.08,28.1,43.48,47.85,2.18,Low
400,1,32.69,19.37,43.48,5.17,0.9,lost customers
128,2,247.18,74.55,91.93,81.88,4.18,High
313,1,93.3,31.84,43.48,42.55,2.06,Low
361,1,120.45,24.96,43.48,54.54,2.35,Low
376,1,44.0,22.82,43.48,12.73,1.14,lost customers
71,1,159.65,86.93,43.48,66.82,3.17,Medium
362,1,43.0,24.8,43.48,12.07,1.14,lost customers
217,1,32.68,53.21,43.48,5.14,1.15,lost customers
471,1,606.46,10.84,43.48,94.57,3.39,Medium
208,1,86.15,55.14,43.48,39.05,2.14,Low
110,1,57.29,79.58,43.48,21.46,1.82,Low
